model	R2	MSE	Pearson	E_distance	MV_KDE	Jaccard
z16_r0.002	0.9403615912795067	0.005136895	0.9739088562266177	1.757429314839591	0.035851835401170554	0.26582278481012656
z16_r0.02	0.9398718046024441	0.0051790546	0.9736591103864422	1.8071137438703317	0.03577380577785895	0.2903225806451613
z64_r0.002	0.8514935792982579	0.012791466	0.9307024792154511	3.3520137991963512	0.03533303641280396	0.32450331125827814
z64_r0.02	0.9023923403769731	0.008407291	0.9570478087812734	2.178097628492063	0.03398693769706771	0.30718954248366015
